id_producto;id_producto_alternativo;id_subcategoria_producto;desc_producto_english;desc_producto;costo;producto_terminado?;Color;nivel_Stock_seguridad;punto_reorden;precio_lista;talle;rango_talle;peso;dias_necesarios_producir;linea_producto;precio_proveedor;clase;estilo;modelo;fecha_inicio;fecha_fin;estado;EnglishProductSubcategoryName;desc_subcategoria;id_categoria_producto;EnglishProductCategoryName;desc_categoria
1;AR-5381;-1;Adjustable Race;Carrera Ajustable;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
2;BA-8327;-1;Bearing Ball;Cojinete De Bolas;;FALSO;NA;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
3;BE-2349;-1;BB Ball Bearing;Teniendo Bb Bola;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
4;BE-2908;-1;Headset Ball Bearings;Rodamientos De Bolas Auricular;;FALSO;NA;800;600;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
5;BL-2036;-1;Blade;Espada;;FALSO;NA;800;600;;;NA;;1;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
6;CA-5965;-1;LL Crankarm;Ll Biela;;FALSO;Negro;500;375;;;NA;;0;;;L ;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
7;CA-6738;-1;ML Crankarm;Ml Biela;;FALSO;Negro;500;375;;;NA;;0;;;M ;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
8;CA-7457;-1;HL Crankarm;Hl Biela;;FALSO;Negro;500;375;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
9;CB-2903;-1;Chainring Bolts;Pernos De Chainring;;FALSO;Plateado;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
10;CN-6137;-1;Chainring Nut;Plato Tuerca;;FALSO;Plateado;1000;750;;;NA;;0;;;;;;01/07/2003 0:00;;Activo;DESCONOCIDO;DESCONOCIDO;-1;DESCONOCIDO;DESCONOCIDO
